#,Company,Location_HQ,Region,State,Country,Continent,Laid_Off,Date_layoffs,Percentage,Company_Size_before_Layoffs,Company_Size_after_layoffs,Industry,Stage,Money_Raised_in__mil,latitude,longitude
766,Upstart,"San Mateo","San Francisco Bay Area",California,USA,"North America",140,2022-11-01,7,2000,1860,Finance,Post-IPO,144,37.496904,-122.3330573
767,Chargebee,"North Bethesda","San Francisco Bay Area",California,USA,"North America",142,2022-11-02,10,1420,1278,Finance,"Series H",468,37.773972,-122.431297
768,Checkmarx,"Tel Aviv",Unknown,Unknown,Israel,Asia,100,2022-11-02,10,1000,900,Security,"Series C",92,32.0852997,34.7818064
769,Chime,"San Francisco","San Francisco Bay Area",California,USA,"North America",156,2022-11-02,12,1300,1144,Finance,"Series G",2300,37.7792588,-122.4193286
770,"Dapper Labs",Vancouver,Unknown,Unknown,Canada,"North America",134,2022-11-02,22,609,475,Crypto,"Series D",607,49.2608724,-123.113952
771,"Iron Ox",Gilroy,"San Francisco Bay Area",California,USA,"North America",50,2022-11-02,50,100,50,Food,"Series C",103,37.0065078,-121.5631723
773,Smava,Berlin,Unknown,Unknown,Germany,Europe,100,2022-11-02,15,667,567,Finance,Unknown,188,52.5170365,13.3888599
774,"Delivery Hero",Berlin,Unknown,Unknown,Germany,Europe,100,2022-11-03,2,4000,3900,Food,Post-IPO,8300,52.5170365,13.3888599
775,Lyft,"San Francisco","San Francisco Bay Area",California,USA,"North America",700,2022-11-03,13,5385,4685,Transportation,Post-IPO,4900,37.7792588,-122.4193286
776,Pleo,Copenhagen,Unknown,Unknown,Denmark,Europe,150,2022-11-03,15,1000,850,Finance,"Series C",428,55.6867243,12.5700724
777,Shippo,"San Francisco","San Francisco Bay Area",California,USA,"North America",60,2022-11-03,20,300,240,Logistics,"Series E",154,37.7792588,-122.4193286
778,Stripe,"San Francisco","San Francisco Bay Area",California,USA,"North America",1000,2022-11-03,14,7143,6143,Finance,"Series H",2300,37.7792588,-122.4193286
779,Exodus,"Nebraska City",Unknown,Unknown,USA,"North America",59,2022-11-04,22,268,209,Crypto,Unknown,60,40.676526,-95.858694
780,KoinWorks,Jakarta,Unknown,Unknown,Indonesia,Asia,70,2022-11-04,8,875,805,Finance,Unknown,180,-6.175247,106.8270488
781,Planetly,Berlin,Unknown,Unknown,Germany,Europe,200,2022-11-04,100,200,0,Other,Acquired,5,52.5170365,13.3888599
782,Twitter,"San Francisco","San Francisco Bay Area",California,USA,"North America",3700,2022-11-04,50,7400,3700,Consumer,Post-IPO,12900,37.7792588,-122.4193286
783,Varonis,"New York City",Unknown,Unknown,USA,"North America",110,2022-11-06,5,2200,2090,Security,Post-IPO,30,40.7127281,-74.0060152
784,Dock,"Sao Paulo",Unknown,Unknown,Brazil,"South America",190,2022-11-07,12,1583,1393,Finance,"Private Equity",280,-23.5506507,-46.6333824
785,"SaleSan Francisco Bay Areaorce","San Francisco","San Francisco Bay Area",California,USA,"North America",1000,2022-11-07,1,100000,99000,Sales,Post-IPO,65,37.7792588,-122.4193286
786,Unacademy,Bengaluru,Unknown,Unknown,India,Asia,350,2022-11-07,10,3500,3150,Education,"Series H",838,12.98815675,77.62260004
787,Zendesk,"San Francisco","San Francisco Bay Area",California,USA,"North America",350,2022-11-07,5,7000,6650,Support,Acquired,85,37.7792588,-122.4193286
788,"Repertoire Immunity",Boston,Unknown,Unknown,USA,"North America",65,2022-11-08,50,130,65,Healthcare,"Series B",257,42.3554334,-71.060511
789,AvantStay,"Los Angeles",Unknown,California,USA,"North America",144,2022-11-09,22,655,511,Travel,"Private Equity",686,34.0536909,-118.242766
790,Flyhomes,Seattle,Unknown,Unknown,USA,"North America",300,2022-11-09,40,750,450,"Real Estate","Series C",310,47.6038321,-122.330062
791,Kabam,"San Francisco","San Francisco Bay Area",California,USA,"North America",35,2022-11-09,7,500,465,Consumer,Acquired,244,37.7792588,-122.4193286
792,Liftoff,"Redwood City","San Francisco Bay Area",California,USA,"North America",130,2022-11-09,15,867,737,Marketing,Acquired,6,37.4863239,-122.232523
793,Meta,"Menlo Park","San Francisco Bay Area",California,USA,"North America",11000,2022-11-09,13,84615,73615,Consumer,Post-IPO,26000,37.4519671,-122.177992
794,Namogoo,"Tel Aviv",Unknown,Unknown,Israel,Asia,25,2022-11-09,15,167,142,Marketing,"Series C",69,32.0852997,34.7818064
795,Plum,Bengaluru,Unknown,Unknown,India,Asia,36,2022-11-09,10,360,324,Healthcare,"Series A",20,12.98815675,77.62260004
796,Redfin,Seattle,Unknown,Unknown,USA,"North America",862,2022-11-09,13,6631,5769,"Real Estate",Post-IPO,320,47.6038321,-122.330062
797,"Root Insurance",Columbus,Unknown,Unknown,USA,"North America",137,2022-11-09,20,685,548,Finance,Post-IPO,527,39.9622601,-83.0007065
798,Blend,"San Francisco","San Francisco Bay Area",California,USA,"North America",100,2022-11-10,6,1667,1567,Finance,Post-IPO,665,37.7792588,-122.4193286
799,"GoTo Group",Jakarta,Unknown,Unknown,Indonesia,Asia,1300,2022-11-10,12,10833,9533,Transportation,Post-IPO,1300,-6.175247,106.8270488
800,InfluxData,"San Francisco","San Francisco Bay Area",California,USA,"North America",65,2022-11-10,27,241,176,Data,"Series D",119,37.7792588,-122.4193286
801,Juul,"San Francisco","San Francisco Bay Area",California,USA,"North America",400,2022-11-10,30,1333,933,Consumer,Unknown,1500,37.7792588,-122.4193286
802,Ocavu,Lehi,Unknown,Unknown,USA,"North America",20,2022-11-10,48,42,22,Crypto,"Series A",11,40.3881114,-111.8486019
803,SoundHound,"Santa Clara","San Francisco Bay Area",California,USA,"North America",45,2022-11-10,10,450,405,Other,Post-IPO,326,37.354107,-121.955238
804,Forto,Berlin,Unknown,Unknown,Germany,Europe,60,2022-11-11,8,750,690,Logistics,"Series D",593,52.5170365,13.3888599
805,Veev,Hayward,"San Francisco Bay Area",California,USA,"North America",100,2022-11-11,30,333,233,"Real Estate","Series D",597,37.6688205,-122.080796
806,Cloudinary,"Santa Clara","San Francisco Bay Area",California,USA,"North America",40,2022-11-14,8,500,460,Media,Unknown,100,37.354107,-121.955238
807,iFit,Logan,Unknown,Unknown,USA,"North America",300,2022-11-14,20,1500,1200,Fitness,"Private Equity",200,40.1075089,-89.3768539
808,Illumina,"San Diego",Unknown,California,USA,"North America",500,2022-11-14,5,10000,9500,Healthcare,Post-IPO,28,32.7174202,-117.162772
809,Intercom,"San Francisco","San Francisco Bay Area",California,USA,"North America",124,2022-11-14,13,954,830,Support,"Series D",240,37.7792588,-122.4193286
810,Pipedrive,Tallinn,Unknown,Unknown,Estonia,Europe,143,2022-11-14,15,953,810,Sales,"Private Equity",90,59.4372155,24.7453688
811,Ribbon,"New York City",Unknown,Unknown,USA,"North America",170,2022-11-14,85,200,30,"Real Estate","Series C",405,40.7127281,-74.0060152
812,Asana,"San Francisco","San Francisco Bay Area",California,USA,"North America",180,2022-11-15,9,2000,1820,Other,Post-IPO,453,37.7792588,-122.4193286
813,CaptivateIQ,"San Francisco","San Francisco Bay Area",California,USA,"North America",31,2022-11-15,10,310,279,Sales,"Series C",164,37.7792588,-122.4193286
815,Jimdo,Hamburg,Unknown,Unknown,Germany,Europe,50,2022-11-15,16,313,263,Other,Unknown,28,53.550341,10.000654
816,OwnBackup,"New York City",Unknown,Unknown,USA,"North America",170,2022-11-15,17,1000,830,Security,"Series E",507,40.7127281,-74.0060152
818,Amazon,Seattle,Unknown,Unknown,USA,"North America",10000,2022-11-16,3,333333,323333,Retail,Post-IPO,108,47.6038321,-122.330062
819,Cisco,"San Jose","San Francisco Bay Area",California,USA,"North America",4100,2022-11-16,5,82000,77900,Infrastructure,Post-IPO,2,37.3361663,-121.890591
820,Lokalise,Dover,Unknown,Unknown,USA,"North America",76,2022-11-16,23,330,254,Other,"Series B",56,39.158168,-75.5243682
821,"Pear Therapeutics",Boston,Unknown,Unknown,USA,"North America",59,2022-11-16,22,268,209,Healthcare,Post-IPO,409,42.3554334,-71.060511
822,Salsify,Boston,Unknown,Unknown,USA,"North America",90,2022-11-16,11,818,728,Retail,"Series F",452,42.3554334,-71.060511
823,Similarweb,"New York City",Unknown,Unknown,USA,"North America",120,2022-11-16,10,1200,1080,Other,Post-IPO,235,40.7127281,-74.0060152
